Iteration,MatrixSize,Method,TimeMs
0,100,Unparalleled,0.004
0,100,Parallel,5.205
1,100,Unparalleled,0.006
1,100,Parallel,0.302
2,100,Unparalleled,0.007
2,100,Parallel,0.424
3,100,Unparalleled,0.006
3,100,Parallel,0.501
4,100,Unparalleled,0.005
4,100,Parallel,1.953
0,200,Unparalleled,0.013
0,200,Parallel,0.306
1,200,Unparalleled,0.014
1,200,Parallel,0.343
2,200,Unparalleled,0.014
2,200,Parallel,0.611
3,200,Unparalleled,0.026
3,200,Parallel,2.238
4,200,Unparalleled,0.013
4,200,Parallel,0.297
0,300,Unparalleled,0.061
0,300,Parallel,0.29
1,300,Unparalleled,0.028
1,300,Parallel,0.395
2,300,Unparalleled,0.031
2,300,Parallel,7.201
3,300,Unparalleled,0.028
3,300,Parallel,0.306
4,300,Unparalleled,0.029
4,300,Parallel,0.626
0,400,Unparalleled,0.103
0,400,Parallel,0.328
1,400,Unparalleled,0.048
1,400,Parallel,0.378
2,400,Unparalleled,0.1
2,400,Parallel,0.417
3,400,Unparalleled,0.061
3,400,Parallel,1.424
4,400,Unparalleled,0.052
4,400,Parallel,0.433
0,500,Unparalleled,0.074
0,500,Parallel,0.341
1,500,Unparalleled,0.073
1,500,Parallel,0.605
2,500,Unparalleled,0.075
2,500,Parallel,0.352
3,500,Unparalleled,0.158
3,500,Parallel,0.407
4,500,Unparalleled,0.073
4,500,Parallel,0.358
0,600,Unparalleled,0.103
0,600,Parallel,0.358
1,600,Unparalleled,0.104
1,600,Parallel,0.333
2,600,Unparalleled,0.103
2,600,Parallel,0.312
3,600,Unparalleled,0.105
3,600,Parallel,0.891
4,600,Unparalleled,0.231
4,600,Parallel,0.47
0,700,Unparalleled,0.167
0,700,Parallel,0.46
1,700,Unparalleled,0.14
1,700,Parallel,0.383
2,700,Unparalleled,0.143
2,700,Parallel,0.369
3,700,Unparalleled,0.176
3,700,Parallel,0.728
4,700,Unparalleled,0.141
4,700,Parallel,0.375
0,800,Unparalleled,0.181
0,800,Parallel,0.436
1,800,Unparalleled,0.201
1,800,Parallel,0.386
2,800,Unparalleled,0.194
2,800,Parallel,0.37
3,800,Unparalleled,0.207
3,800,Parallel,0.384
4,800,Unparalleled,0.199
4,800,Parallel,0.376
0,900,Unparalleled,0.24
0,900,Parallel,0.441
1,900,Unparalleled,0.241
1,900,Parallel,0.442
2,900,Unparalleled,0.244
2,900,Parallel,0.411
3,900,Unparalleled,0.303
3,900,Parallel,1.146
4,900,Unparalleled,0.263
4,900,Parallel,0.748
0,1000,Unparalleled,0.664
0,1000,Parallel,0.406
1,1000,Unparalleled,0.788
1,1000,Parallel,0.56
2,1000,Unparalleled,0.45
2,1000,Parallel,0.103
3,1000,Unparalleled,0.84
3,1000,Parallel,0.34
4,1000,Unparalleled,0.55
4,1000,Parallel,0.15
0,2000,Unparalleled,0.791
0,2000,Parallel,0.387
1,2000,Unparalleled,3.254
1,2000,Parallel,0.849
2,2000,Unparalleled,0.811
2,2000,Parallel,0.442
3,2000,Unparalleled,0.796
3,2000,Parallel,0.433
4,2000,Unparalleled,0.811
4,2000,Parallel,0.482
